Crash Date,Crash Time,X,Y,City/Town,Crash Severity,Maximum Injury Severity Reported,Crash Number,Most Harmful Events,Non Motorist Type
12/19/01,7:17 PM,,,AUBURN,Non-fatal injury,Non-fatal injury - Incapacitating,1403998,V1:(Collision with pedestrian),P2:Pedestrian
12/22/01,4:55 PM,,,ANDOVER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1404024,V1:(Collision with pedestrian),P2:Pedestrian
12/19/01,2:55 PM,228860.1344,829287.11,FALL RIVER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1404038,V1:(Collision with parked motor vehicle),P2:Pedestrian
12/14/01,1:59 PM,238484.5952,889644.4792,QUINCY,Non-fatal injury,Non-fatal injury - Possible,1404253,V1:(Collision with pedestrian),P3:Pedestrian
12/15/01,6:06 PM,207948.3156,878108.7424,MEDWAY,Property damage only (none injured),No injury,1404261,V1:(Collision with pedestrian),P3:Pedestrian
11/20/01,10:00 AM,234013.4277,895225.2085,BOSTON,Non-fatal injury,Non-fatal injury - Incapacitating,1404342,V1:(Collision with pedestrian),P2:Pedestrian
11/21/01,1:52 PM,,,BOSTON,Non-fatal injury,Non-fatal injury - Incapacitating,1404346,V1:(Collision with pedestrian),P2:Pedestrian
12/14/01,3:47 PM,211648.7506,890789.7627,NATICK,Non-fatal injury,Non-fatal injury - Possible,1404348,V1:(Collision with pedestrian),P2:Pedestrian
12/9/01,9:13 PM,267670.5432,856245.3573,PLYMOUTH,Non-fatal injury,Non-fatal injury - Incapacitating,1404401,V1:(Collision with pedestrian),P2:Pedestrian
12/8/01,3:20 PM,215898.6676,921622.0482,BILLERICA,Property damage only (none injured),No injury,1404427,V1:(Collision with pedestrian),P2:Pedestrian
12/12/01,5:41 PM,266804.0839,859294.5101,PLYMOUTH,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1404523,V1:(Collision with pedestrian),P5:Pedestrian
11/26/01,6:27 AM,59423.8595,910413.5002,PITTSFIELD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1404678,V1:(Collision with pedestrian),P2:Pedestrian
12/29/01,10:01 PM,325630.6328,845249.0575,EASTHAM,Not Reported,Non-fatal injury - Incapacitating,1404778,V1:(Other non-collision),P2:Pedestrian
12/5/01,6:57 PM,244813.9218,932538.6872,TOPSFIELD,Not Reported,Not reported,1404859,V1:(Collision with pedestrian),P4:Pedestrian
12/21/01,12:30 PM,228396.2371,938047.541,LAWRENCE,Not Reported,Non-fatal injury - Incapacitating,1404897,V1:(Unknown),P2:Pedestrian
12/29/01,12:40 PM,175314.1607,889481.3017,WORCESTER,Property damage only (none injured),Non-fatal injury - Incapacitating,1404961,V1:(Collision with pedestrian),P3:Pedestrian
12/29/01,5:26 PM,172863.6308,889259.4192,WORCESTER,Non-fatal injury,Non-fatal injury - Incapacitating,1405004,V1:(Collision with pedestrian),P2:Pedestrian
12/13/01,5:00 PM,60295.77375,944027.9728,WILLIAMSTOWN,Property damage only (none injured),Non-fatal injury - Incapacitating,1405036,V1:(),P2:Pedestrian
